City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Krutaya Gorka,RU,55.3649,73.2231,44.6,42,40,17.9,scattered clouds
137,Bahir Dar,ET,11.5936,37.3908,63.48,76,100,3.91,overcast clouds
138,Jamestown,US,42.097,-79.2353,41.0,56,90,17.27,overcast clouds
139,Phan Thiet,VN,10.9333,108.1,88.38,61,53,12.15,broken clouds
140,Mahebourg,MU,-20.4081,57.7,77.0,78,40,10.36,scattered clouds
141,Cozumel,MX,20.5083,-86.9458,80.6,78,40,13.8,scattered clouds
142,Wanning,CN,18.8003,110.3967,86.34,63,23,6.91,few clouds
143,Faya,SA,18.3851,42.4509,60.8,55,20,5.3,few clouds
144,Chokurdakh,RU,70.6333,147.9167,22.69,82,9,5.3,clear sky
145,Grand Gaube,MU,-20.0064,57.6608,79.0,80,100,7.0,overcast clouds
146,Dikson,RU,73.5069,80.5464,22.3,92,100,11.32,overcast clouds
147,Ferrol,ES,43.4832,-8.2369,43.0,100,19,4.61,fog
148,Alamos,MX,27.0167,-108.9333,79.0,37,28,4.07,scattered clouds
149,Korla,CN,41.7597,86.1469,79.32,11,0,7.0,clear sky
150,Saint-Pierre,RE,-21.3393,55.4781,75.2,73,0,9.53,clear sky
151,Mareeba,AU,-17.0,145.4333,82.99,57,35,19.57,scattered clouds
152,Diamantino,BR,-14.4086,-56.4461,71.6,60,64,3.44,broken clouds
153,Khatanga,RU,71.9667,102.5,33.3,95,100,9.48,overcast clouds
154,Ostrovnoy,RU,68.0531,39.5131,19.69,74,99,5.59,overcast clouds
155,Agadir,MA,30.4202,-9.5982,59.0,82,0,8.05,clear sky
156,Srednekolymsk,RU,67.45,153.6833,29.62,77,8,12.01,clear sky
157,Verkhnyaya Inta,RU,65.9811,60.3094,36.5,60,76,13.27,broken clouds
158,Barrow,US,71.2906,-156.7887,21.2,79,90,1.95,overcast clouds
159,San Cristobal,VE,7.7669,-72.225,65.01,91,100,1.77,overcast clouds
160,Anchorage,US,61.2181,-149.9003,46.4,31,1,8.05,clear sky
161,Tabou,CI,4.423,-7.3528,79.36,82,100,4.81,overcast clouds
162,Aklavik,CA,68.2191,-135.0107,33.8,64,100,5.75,overcast clouds
163,Yeppoon,AU,-23.1333,150.7333,82.4,47,50,12.66,scattered clouds
164,Miri,MY,4.4148,114.0089,87.8,70,40,5.75,scattered clouds
165,Vestmannaeyjar,IS,63.4427,-20.2734,37.94,78,92,18.66,overcast clouds
166,Kazerun,IR,29.6195,51.6541,76.03,20,0,1.23,clear sky
167,Burhaniye,TR,39.5004,26.9727,55.4,82,0,5.75,clear sky
168,Hami,CN,42.8,93.45,84.79,7,32,8.05,scattered clouds
169,Baindur,IN,13.8667,74.6333,89.64,60,8,1.83,clear sky
170,Anito,PH,12.4497,125.2886,86.05,60,18,7.09,few clouds
171,Conceicao Da Barra,BR,-18.5933,-39.7322,72.91,68,99,8.03,overcast clouds
172,Buchanan,LR,5.8808,-10.0467,75.2,94,40,7.14,scattered clouds
173,Tiksi,RU,71.6872,128.8694,30.15,90,23,5.12,few clouds
174,Upernavik,GL,72.7868,-56.1549,23.07,76,100,4.32,overcast clouds
175,Kushiro,JP,42.975,144.3747,53.6,54,75,14.97,broken clouds
176,Salalah,OM,17.0151,54.0924,80.6,78,75,3.44,broken clouds
177,Provideniya,RU,64.3833,-173.3,27.82,79,100,7.09,light snow
178,Kattivakkam,IN,13.2167,80.3167,90.0,66,40,4.61,scattered clouds
179,Altamira,BR,-3.2033,-52.2064,71.49,97,87,1.01,overcast clouds
180,Saint George,US,37.1041,-113.5841,86.0,12,1,6.91,haze
181,Brigham City,US,41.5102,-112.0155,66.2,37,1,8.05,clear sky
182,Bambous Virieux,MU,-20.3428,57.7575,79.0,78,40,10.36,scattered clouds
183,Port Elizabeth,ZA,-33.918,25.5701,55.4,71,0,9.22,clear sky
184,Champerico,GT,14.3,-91.9167,69.01,95,34,1.01,scattered clouds
185,Airai,TL,-8.9266,125.4092,75.27,48,38,3.74,scattered clouds
186,Ornskoldsvik,SE,63.2909,18.7153,28.4,64,62,8.05,broken clouds
187,Lusambo,CD,-4.9667,23.45,68.81,98,100,1.14,overcast clouds
188,Zelenoborskiy,RU,66.845,32.3622,19.99,100,43,9.82,scattered clouds
189,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.96,78,100,8.55,overcast clouds
190,Beringovskiy,RU,63.05,179.3167,23.86,81,91,10.2,overcast clouds
