City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Ishigaki,JP,82.4,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
255,Kandrian,PG,85.21,scattered clouds,-6.2167,149.55,Kandrian Station
256,Qui Nhon,VN,84.24,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
257,Sechura,PE,71.28,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
262,Lorengau,PG,84.02,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
263,La Primavera,CO,71.29,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
264,Oriximina,BR,74.86,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
265,Shimoda,JP,68.0,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
266,Karpathos,GR,66.2,few clouds,35.507,27.2132,Alex
267,Male,MV,86.0,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
268,Barranquilla,CO,82.0,broken clouds,10.9639,-74.7964,Hotel Don Jorge
270,Mahibadhoo,MV,83.43,overcast clouds,3.7833,72.9667,Omadhoo Inn
271,Carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
272,Road Town,VG,78.01,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
274,Tarut,SA,75.2,clear sky,26.5733,50.0369,سطحة لسحب ونقل السيارات
278,Banda Aceh,ID,86.72,broken clouds,5.5577,95.3222,Sulthan Hotel International
279,Ferkessedougou,CI,80.8,broken clouds,9.6,-5.2,Hotel Chateau
281,Port Macquarie,AU,73.0,few clouds,-31.4333,152.9167,Rydges Port Macquarie
285,Tocache,PE,68.22,broken clouds,-8.1842,-76.5125,Hotel Ortiz
287,Am Timan,TD,87.85,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
289,Khash,IR,70.14,broken clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
290,Amta,IN,87.8,haze,22.58,88.0083,Amta Life Line Laboratory
291,Jeremie,HT,78.1,broken clouds,18.65,-74.1167,Auberge’Inn
293,Mizdah,LY,75.51,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
296,Mogadishu,SO,80.6,scattered clouds,2.0371,45.3438,Hotel Juba
297,Ambulu,ID,86.27,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
298,Bardiyah,LY,78.17,clear sky,31.7561,25.0865,بورتو بردية
